,0,1,2,3,4
0,1672248925.380813,1672248925.3810494,1672248925.3735502,1672248925.3682463,1672248925.3839047
1,1672248925.3958266,1672248925.3963127,1672248925.3897936,1672248925.3847003,1672248925.3996336
2,1672248925.3958266,1672248925.3963127,1672248925.3897936,1672248925.3847003,1672248925.4004626
3,1672248925.4118354,1672248925.4120917,1672248925.404466,1672248925.4156663,1672248925.4154472
4,1672248925.4118354,1672248925.4120917,1672248925.404466,1672248925.4156663,1672248925.4159844
5,1672248925.4270856,1672248925.427572,1672248925.4201822,1672248925.4156663,1672248925.431125
6,1672248925.442604,1672248925.4425435,1672248925.4354215,1672248925.4316247,1672248925.4472625
7,1672248925.442604,1672248925.4425435,1672248925.4354215,1672248925.447736,1672248925.447857
8,1672248925.4582324,1672248925.457821,1672248925.451453,1672248925.447736,1672248925.4625332
9,1672248925.4744327,1672248925.4738467,1672248925.4671102,1672248925.4637873,1672248925.4789817
10,1672248925.4744327,1672248925.4738467,1672248925.4671102,1672248925.479788,1672248925.4799492
11,1672248925.4906604,1672248925.4890924,1672248925.4836037,1672248925.4950292,1672248925.4946585
12,1672248925.5061662,1672248925.5052295,1672248925.499368,1672248925.5119526,1672248925.5110872
13,1672248925.5061662,1672248925.5052295,1672248925.499368,1672248925.5119526,1672248925.5133982
14,1672248925.5222375,1672248925.5209148,1672248925.5151858,1672248925.5255332,1672248925.5256631
15,1672248925.5222375,1672248925.5209148,1672248925.5151858,1672248925.5255332,1672248925.5273373
16,1672248925.5366933,1672248925.5358644,1672248925.531301,1672248925.5409474,1672248925.541944
17,1672248925.5533853,1672248925.5521495,1672248925.5469463,1672248925.5560076,1672248925.5575767
18,1672248925.5533853,1672248925.5521495,1672248925.5469463,1672248925.5560076,1672248925.5583317
19,1672248925.568783,1672248925.5672483,1672248925.563611,1672248925.5714889,1672248925.5725257
20,1672248925.5849156,1672248925.5825293,1672248925.578704,1672248925.5865946,1672248925.5894368
21,1672248925.5849156,1672248925.5825293,1672248925.578704,1672248925.5865946,1672248925.5916536
22,1672248925.6004658,1672248925.5982502,1672248925.5944364,1672248925.601825,1672248925.604942
23,1672248925.6160655,1672248925.6142116,1672248925.6103828,1672248925.6174815,1672248925.6212106
24,1672248925.6160655,1672248925.6142116,1672248925.6103828,1672248925.6174815,1672248925.6229398
25,1672248925.6313815,1672248925.629996,1672248925.6262326,1672248925.633474,1672248925.6368601
26,1672248925.6313815,1672248925.629996,1672248925.6262326,1672248925.633474,1672248925.638827
27,1672248925.6469686,1672248925.6464002,1672248925.6423821,1672248925.6486747,1672248925.6526003
28,1672248925.6632664,1672248925.6623013,1672248925.6580355,1672248925.664702,1672248925.6687515
29,1672248925.6632664,1672248925.6623013,1672248925.6580355,1672248925.664702,1672248925.6704867
30,1672248925.6781664,1672248925.6779833,1672248925.6741185,1672248925.6807704,1672248925.6836457
31,1672248925.6939416,1672248925.6930413,1672248925.689881,1672248925.6955569,1672248925.6991494
32,1672248925.6939416,1672248925.6930413,1672248925.689881,1672248925.6955569,1672248925.7012684
33,1672248925.7090514,1672248925.7093945,1672248925.7053568,1672248925.7106311,1672248925.71437
34,1672248925.7251687,1672248925.7253714,1672248925.7215016,1672248925.7266529,1672248925.7294323
35,1672248925.7251687,1672248925.7253714,1672248925.7215016,1672248925.7266529,1672248925.7315197
36,1672248925.740802,1672248925.740662,1672248925.7368493,1672248925.7417536,1672248925.744735
37,1672248925.7551556,1672248925.7565174,1672248925.7523465,1672248925.7570295,1672248925.7595963
38,1672248925.7551556,1672248925.7565174,1672248925.7523465,1672248925.7570295,1672248925.7614872
39,1672248925.7705119,1672248925.7719953,1672248925.7680664,1672248925.7731621,1672248925.7749348
40,1672248925.785665,1672248925.7881517,1672248925.7835417,1672248925.7886298,1672248925.7901306
41,1672248925.785665,1672248925.7881517,1672248925.7835417,1672248925.7886298,1672248925.791559
42,1672248925.8008394,1672248925.80422,1672248925.7995715,1672248925.8046615,1672248925.8059225
43,1672248925.8008394,1672248925.80422,1672248925.7995715,1672248925.8046615,1672248925.807063
44,1672248925.817097,1672248925.8193042,1672248925.8152988,1672248925.8205707,1672248925.8211021
45,1672248925.832525,1672248925.8351796,1672248925.8310738,1672248925.8358476,1672248925.8367045
46,1672248925.832525,1672248925.8351796,1672248925.8310738,1672248925.8358476,1672248925.8377779
47,1672248925.847484,1672248925.850719,1672248925.8452373,1672248925.8522422,1672248925.8516421
48,1672248925.863186,1672248925.8659456,1672248925.861652,1672248925.8663642,1672248925.8677542
49,1672248925.863186,1672248925.8659456,1672248925.861652,1672248925.8663642,1672248925.868428
50,1672248925.8779538,1672248925.8812485,1672248925.876768,1672248925.8821816,1672248925.8829317
51,1672248925.893637,1672248925.896671,1672248925.8921003,1672248925.8972075,1672248925.8988073
52,1672248925.893637,1672248925.896671,1672248925.8921003,1672248925.8972075,1672248925.8992085
53,1672248925.9085312,1672248925.9121187,1672248925.9076192,1672248925.9135385,1672248925.9142516
54,1672248925.9247656,1672248925.9275467,1672248925.923068,1672248925.9281585,1672248925.9303637
55,1672248925.9247656,1672248925.9275467,1672248925.923068,1672248925.9281585,1672248925.9307573
56,1672248925.9408429,1672248925.9438634,1672248925.938715,1672248925.9444535,1672248925.9465666
57,1672248925.9408429,1672248925.9438634,1672248925.938715,1672248925.9444535,1672248925.9471622
58,1672248925.9568458,1672248925.9596043,1672248925.9547503,1672248925.959935,1672248925.9627638
59,1672248925.9723022,1672248925.9749606,1672248925.970094,1672248925.9753323,1672248925.9779139
60,1672248925.9723022,1672248925.9749606,1672248925.970094,1672248925.9753323,1672248925.97973
61,1672248925.9879565,1672248925.990391,1672248925.9853516,1672248925.9919605,1672248925.9936378
62,1672248926.0033774,1672248926.005306,1672248926.001641,1672248926.0075626,1672248926.0099053
63,1672248926.0033774,1672248926.005306,1672248926.001641,1672248926.0075626,1672248926.011324
64,1672248926.0192137,1672248926.020934,1672248926.016285,1672248926.0234096,1672248926.0248113
65,1672248926.034487,1672248926.0362828,1672248926.0321412,1672248926.03959,1672248926.0411172
66,1672248926.034487,1672248926.0362828,1672248926.0321412,1672248926.03959,1672248926.0427644
67,1672248926.0495985,1672248926.051914,1672248926.0475364,1672248926.0547237,1672248926.0566163
68,1672248926.0495985,1672248926.051914,1672248926.0475364,1672248926.0547237,1672248926.0582962
69,1672248926.0657196,1672248926.0673232,1672248926.063918,1672248926.069681,1672248926.071835
70,1672248926.0816522,1672248926.0825949,1672248926.0792103,1672248926.0851095,1672248926.0873399
71,1672248926.0816522,1672248926.0825949,1672248926.0792103,1672248926.0851095,1672248926.0888243
72,1672248926.097052,1672248926.0979574,1672248926.0944664,1672248926.1006658,1672248926.1023562
73,1672248926.1127408,1672248926.1131053,1672248926.1105936,1672248926.1162179,1672248926.1189847
74,1672248926.1127408,1672248926.1131053,1672248926.1105936,1672248926.1162179,1672248926.1200318
75,1672248926.1279585,1672248926.128597,1672248926.1254258,1672248926.1315591,1672248926.1348598
76,1672248926.1433237,1672248926.1438925,1672248926.1406243,1672248926.1471322,1672248926.1501594
77,1672248926.1433237,1672248926.1438925,1672248926.1406243,1672248926.1471322,1672248926.1517246
78,1672248926.1579497,1672248926.1594849,1672248926.156173,1672248926.1629903,1672248926.1649659
79,1672248926.1579497,1672248926.1594849,1672248926.156173,1672248926.1629903,1672248926.1652236
80,1672248926.173586,1672248926.1746688,1672248926.1721802,1672248926.178699,1672248926.1803644
81,1672248926.1889288,1672248926.190865,1672248926.1876118,1672248926.194227,1672248926.1968436
82,1672248926.1889288,1672248926.190865,1672248926.1876118,1672248926.194227,1672248926.1981883
83,1672248926.204722,1672248926.206289,1672248926.2031693,1672248926.2096918,1672248926.2130146
84,1672248926.2203877,1672248926.2222984,1672248926.2190204,1672248926.2242937,1672248926.2279403
85,1672248926.2203877,1672248926.2222984,1672248926.2190204,1672248926.2242937,1672248926.2294526
86,1672248926.2360423,1672248926.2375133,1672248926.2351725,1672248926.2407806,1672248926.2434433
87,1672248926.2514668,1672248926.252585,1672248926.2500515,1672248926.2564557,1672248926.258483
88,1672248926.2514668,1672248926.252585,1672248926.2500515,1672248926.2564557,1672248926.2595723
89,1672248926.2665796,1672248926.2681634,1672248926.2651162,1672248926.2725656,1672248926.2740078
90,1672248926.2830646,1672248926.2832897,1672248926.2808714,1672248926.2886095,1672248926.2889729
91,1672248926.2830646,1672248926.2832897,1672248926.2808714,1672248926.2886095,1672248926.2904947
92,1672248926.298106,1672248926.2984629,1672248926.2967126,1672248926.303642,1672248926.3050811
93,1672248926.313472,1672248926.3137436,1672248926.3120065,1672248926.3190005,1672248926.3206706
94,1672248926.313472,1672248926.3137436,1672248926.3120065,1672248926.3190005,1672248926.3215406
95,1672248926.3291664,1672248926.3288133,1672248926.3274753,1672248926.333805,1672248926.335821
96,1672248926.3291664,1672248926.3288133,1672248926.3274753,1672248926.333805,1672248926.3371735
